zip,type,primary_city,state,country,latitude,longitude
52403,STANDARD,Cedar Rapids,IA,US,41.97,-91.57
52404,STANDARD,Cedar Rapids,IA,US,41.92,-91.7
52405,STANDARD,Cedar Rapids,IA,US,41.98,-91.75
52406,PO BOX,Cedar Rapids,IA,US,41.97,-91.66
52407,PO BOX,Cedar Rapids,IA,US,41.97,-91.66
52408,PO BOX,Cedar Rapids,IA,US,41.97,-91.66
52409,PO BOX,Cedar Rapids,IA,US,41.97,-91.66
52410,PO BOX,Cedar Rapids,IA,US,41.97,-91.66
52411,STANDARD,Cedar Rapids,IA,US,42.05,-91.73
52497,UNIQUE,Cedar Rapids,IA,US,41.97,-91.66
52498,UNIQUE,Cedar Rapids,IA,US,41.97,-91.66
52499,UNIQUE,Cedar Rapids,IA,US,41.97,-91.66
52501,STANDARD,Ottumwa,IA,US,41.01,-92.41
52530,STANDARD,Agency,IA,US,40.99,-92.3
52531,STANDARD,Albia,IA,US,41.02,-92.8
52533,STANDARD,Batavia,IA,US,40.99,-92.16
52534,STANDARD,Beacon,IA,US,41.27,-92.68
52535,STANDARD,Birmingham,IA,US,40.87,-91.94
52536,STANDARD,Blakesburg,IA,US,40.96,-92.63
52537,STANDARD,Bloomfield,IA,US,40.74,-92.41
52538,STANDARD,West Grove,IA,US,40.69,-92.61
52540,STANDARD,Brighton,IA,US,41.17,-91.82
52542,STANDARD,Cantril,IA,US,40.64,-92.06
52543,STANDARD,Cedar,IA,US,41.2,-92.5
52544,STANDARD,Centerville,IA,US,40.73,-92.87
52548,STANDARD,Chillicothe,IA,US,41.09,-92.53
52549,STANDARD,Cincinnati,IA,US,40.63,-92.92
52550,STANDARD,Delta,IA,US,41.32,-92.32
52551,STANDARD,Douds,IA,US,40.82,-92.11
52552,STANDARD,Drakesville,IA,US,40.79,-92.48
52553,STANDARD,Eddyville,IA,US,41.15,-92.62
52554,STANDARD,Eldon,IA,US,40.91,-92.21
52555,STANDARD,Exline,IA,US,40.64,-92.84
52556,STANDARD,Fairfield,IA,US,41,-91.96
52557,UNIQUE,Fairfield,IA,US,41.02,-91.96
52560,STANDARD,Floris,IA,US,40.86,-92.33
52561,STANDARD,Fremont,IA,US,41.21,-92.43
52562,PO BOX,Hayesville,IA,US,41.26,-92.24
52563,STANDARD,Hedrick,IA,US,41.17,-92.3
52565,STANDARD,Keosauqua,IA,US,40.73,-91.96
52566,STANDARD,Kirkville,IA,US,41.14,-92.5
52567,STANDARD,Libertyville,IA,US,40.95,-92.04
52568,PO BOX,Martinsburg,IA,US,41.17,-92.25
52569,STANDARD,Melrose,IA,US,40.98,-93.04
52570,STANDARD,Milton,IA,US,40.67,-92.16
52571,STANDARD,Moravia,IA,US,40.89,-92.81
52572,STANDARD,Moulton,IA,US,40.68,-92.67
52573,STANDARD,Mount Sterling,IA,US,40.61,-91.93
52574,STANDARD,Mystic,IA,US,40.77,-92.94
52576,STANDARD,Ollie,IA,US,41.19,-92.09
52577,STANDARD,Oskaloosa,IA,US,41.29,-92.63
52580,STANDARD,Packwood,IA,US,41.13,-92.08
52581,STANDARD,Plano,IA,US,40.75,-93.04
52583,STANDARD,Promise City,IA,US,40.74,-93.15
52584,STANDARD,Pulaski,IA,US,40.69,-92.27
52585,STANDARD,Richland,IA,US,41.18,-91.99
52586,STANDARD,Rose Hill,IA,US,41.32,-92.46
52588,STANDARD,Selma,IA,US,40.87,-92.17
52590,STANDARD,Seymour,IA,US,40.68,-93.12
52591,STANDARD,Sigourney,IA,US,41.33,-92.2
52593,STANDARD,Udell,IA,US,40.78,-92.74
52594,STANDARD,Unionville,IA,US,40.81,-92.69
52595,PO BOX,University Park,IA,US,41.29,-92.61
52601,STANDARD,Burlington,IA,US,40.8,-91.12
52619,STANDARD,Argyle,IA,US,40.53,-91.56
52620,STANDARD,Bonaparte,IA,US,40.7,-91.8
52621,STANDARD,Crawfordsville,IA,US,41.21,-91.53
52623,STANDARD,Danville,IA,US,40.86,-91.31
52624,PO BOX,Denmark,IA,US,40.74,-91.34
52625,STANDARD,Donnellson,IA,US,40.64,-91.56
52626,STANDARD,Farmington,IA,US,40.63,-91.73
52627,STANDARD,Fort Madison,IA,US,40.61,-91.35
52630,STANDARD,Hillsboro,IA,US,40.83,-91.71
52631,PO BOX,Houghton,IA,US,40.78,-91.61
52632,STANDARD,Keokuk,IA,US,40.4,-91.4
52635,STANDARD,Lockridge,IA,US,40.99,-91.74
52637,STANDARD,Mediapolis,IA,US,41,-91.16
